libelle_court,libelle_long,libelle_edition,id
'COJAT','CADRE ORGANIS.JURIDIQ.  ACTIV.TOURISTIQ.','Cadre organis.juridiq.  activ.touristiq.',3249
'DR-VD','DROIT ET VEILLE JURIDIQUE','Droit et veille juridique',3261
'ECOOR','ECONOMIE ET ORGANISATION','Economie et organisation',3262
'AHUDD','ARCHITECT., HABITAT & URB., DVLPT DURABL','Architect., habitat & urb., dvlpt durabl',3263
'FILOC','FORMATION D''INITIATIVE LOCALE','Formation d''initiative locale',3264
'CDESG','CULTURE DU DESIGN GRAPHIQUE','Culture du design graphique',3265
'CTYPO','CULTURE TYPOGRAPHIQUE','Culture typographique',3266
'PPGRA','PRATIQUE PLASTIQUE & GRAPHIQUE','Pratique plastique & graphique',3267
'DANAL','DESSIN ANALYTIQUE','Dessin analytique',3268
'TREAL','TECHNOLOGIE DE REALISATION','Technologie de realisation',3271
'TFABR','TECHNOLOGIE DE FABRICATION','Technologie de fabrication',3272
'CCOMM','CULTURE DE LA COMMUNICATION','Culture de la communication',3273
'AT-PX','ATELIERS PRINCIPAUX','Ateliers principaux',3275
'AT-CO','ATELIERS COMPLEMENTAIRES','Ateliers complementaires',3276
'GRE 8','LITTERATURE EN GREC MODERNE','Littérature étrangère en grec moderne',3497
'DAN 8','LITTERATURE EN DANOIS','Littérature étrangère en danois',3495
'ESP 8','LITTERATURE EN ESPAGNOL','Littérature étrangère en espagnol',3496
'HEB 8','LITTERATURE EN HEBREU','Littérature étrangère en hébreu',3498
'ITA 8','LITTERATURE EN ITALIEN','Littérature étrangère en italien',3499
'JAP 8','LITTERATURE EN JAPONAIS','Littérature étrangère en japonais',3500
'POR 8','LITTERATURE EN PORTUGAIS','Littérature étrangère en portugais',3501
'NDL 8','LITTERATURE EN NEERLANDAIS','Littérature étrangère en néerlandais',3502
'POL 8','LITTERATURE EN POLONAIS','Littérature étrangère en polonais',3503
'RUS 8','LITTERATURE EN RUSSE','Littérature étrangère en russe',3504
'ARM 8','LITTERATURE EN ARMENIEN','Littérature étrangère en arménien',3505
'CAM 8','LITTERATURE EN CAMBODGIEN','Littérature étrangère en cambodgien',3506
'VIE 8','LITTERATURE EN VIETNAMIEN','Littérature étrangère en vietnamien',3507
'FIN 8','LITTERATURE EN FINNOIS','Littérature étrangère en finnois',3508
'NOR 8','LITTERATURE EN NORVEGIEN','Littérature étrangère en norvégien',3509
'PER 8','LITTERATURE EN PERSAN','Littérature étrangère en persan',3510
'TUR 8','LITTERATURE EN TURC','Littérature étrangère en turc',3511
'SUE 8','LITTERATURE EN SUEDOIS','Littérature étrangère en suédois',3512
'ARTS','ARTS','Arts',2661
'AEAID','ACCOMPAGN.EDUCATIF- AIDE DEVOIRS LECONS','Accompagn.educatif- aide devoirs lecons',2709
'AESPO','ACCOMPAGNEMT EDUCATIF- PRATIQUE SPORTIVE','Accompagnemt educatif- pratique sportive',2710
'AEART','ACCOMPAGN. EDUCATIF- PRATIQ.ART.CULTUREL','Accompagn. educatif- pratiq.art.culturel',2711
'AELVE','ACCOMPAGN.EDUCATIF- PRATIQUE ORALE LVE','Accompagn.educatif- pratique orale lve',2712
'DGEMC','DROIT GRANDS ENJEUX MONDE CONTEMPORAIN','Droit et grands enjeux du monde contemporain',3163
'ENEST','ENVIRONNEMENT ESTHETIQUE','Environnement esthétique',3522
'ENVEJ','ENVIRONNEMENT ECONOMIQUE ET JURIDIQUE','Environnement economique et juridique',3222
'CDIRP','CONCEPT.DVLPMT INDUSTRIA. REALIS. PRODTS','Concept.dvlpmt industria. realis. prodts',3223
'EPE','ETUDE PERSONNALISEE ENCADREE','Etude personnalisee encadree',3250
'ATELP','ATELIER DE PROFESSIONNALISATION','Atelier de professionnalisation',3253
'CMOTE','CONCEPTION ET MOE DE TECHNIQUES COSMET.','Conception et mise en ¿uvre de techniques cosmétiques',3521
'PRCOS','LE PRODUIT COSMETIQUE','Le produit cosmétique',3523
'APECP','ACTIONS PROFESSIONNELLES (EST.COS.PAR.)','Actions professionnelles (esthétique, cosmétique, parfumerie)',3524
'TPPLU','TRAVAUX PRATIQUES PLURIDIMENSIONNELS','Travaux pratiques pluridimensionnels',3525
'SIEPC','SECUR. INNOC. EFFICAC. DES PROD. COSMET.','Sécurité innocuité efficacité des produits cosmétiques',3526
'COELP','CONCEPTION, ELABORATION, PRODUCTION','Conception, élaboration, production',3528
'TECHC','TECHNIQUES COSMETIQUES','Techniques cosmétiques',3531
'FPCCO','FONDEM. PHYSICO-CHIMIQUES COSMETOLOGIE','Fondements physico-chimiques de la cosmétologie',3532
'MEMOC','METHODES ET MOYENS DE COMMUNICATION','Méthodes et moyens de communication',3533
'PROCC','PROMOTION ET COMMUNICATION COMMERCIALE','Promotion et communication commerciale',3534
'TEFAP','TECHNIQ DE FORMAT., D''ANIM. DE PROMOTION','Techniques de formation, d''animation de promotion',3535
'CEJUM','CULTURE ECONOM., JURIDIQ. ET MANAGERIALE','Culture économique, juridique et managériale',3536
'ETUOS','ENVIRONN. DE TRAVAIL : OUTIL STRATEGIQUE','Environnement de travail : un outil stratégique',3538
'EVENP','EVOLUTION DE L''ENVIRONNEM. PROFESSIONNEL','Evolution de l''environnement professionnel',3539
'DRECO','DOCUMENT. REGLEMENT. EXPERT. COSMETOVIG.','Documentation réglementation expertise cosmétovigilance',3540
'SCHSD','SCIENCES HUMAINES, SOCIALES ET DROIT','Sciences humaines, sociales et droit',3551
'CHI1H','CHINOIS LV1 HORS ETABLISSEMT','Chinois lv1 hors établissemt',2424
'ITA1H','ITALIEN LV1 HORS ETABLISSEMT','Italien lv1 hors établissemt',2425
'ARA1H','ARABE LV1 HORS ETABLISSEMT','Arabe lv1 hors etablissemt',2426
'RUS1H','RUSSE LV1 HORS ETABLISSEMT','Russe lv1 hors établissemt',2427
'HEB1H','HEBREU LV1 HORS ETABLISSEMT','Hébreu lv1 hors établissemt',2428
'HEB2H','HEBREU LV2 HORS ETABLISSEMT','Hébreu lv2 hors établissemt',2429
'HEB3H','HEBREU LV3 HORS ETABLISSEMT','Hébreu lv3 hors établissemt',2430
'POR1H','PORTUGAIS LV1 HORS ETABLISSEMT','Portugais lv1 hors établissemt',2431
'POR2H','PORTUGAIS LV2 HORS ETABLISSEMT','Portugais lv2 hors établissemt',2432
'POR3H','PORTUGAIS LV3 HORS ETABLISSEMT','Portugais lv3 hors établissemt',2433
'JAP1H','JAPONAIS LV1 HORS ETABLISSEMT','Japonais lv1 hors établissemt',2434
'JAP2H','JAPONAIS LV2 HORS ETABLISSEMT','Japonais lv2 hors établissemt',2435
'JAP3H','JAPONAIS LV3 HORS ETABLISSEMT','Japonais lv3 hors établissemt',2436
'TUR1H','TURC LV1 HORS ETABLISSEMT','Turc lv1 hors établissemt',2437
'TUR2H','TURC LV2 HORS ETABLISSEMT','Turc lv2 hors établissemt',2438
'TUR3H','TURC LV3 HORS ETABLISSEMT','Turc lv3 hors établissemt',2439
'TUR4H','TURC RENFORCE HORS ETABLISSEMT','Turc renforce hors établissemt',2440
'SCTSS','SCIENC. & TECHNIQ. SANITAIRES & SOCIALES','Sciences et techniques sanitaires et sociales',2441
'BPPHU','BIOLOGIE & PHYSIOPATHOLOGIE HUMAINES','Biologie et physiopathologie humaines',2442
'CSMEL','CONST.STR.MAT.APPLIQ. ELECTROTECHNIQUE','Const.str.mat.appliq. électrotechnique',2443
'ARA2H','ARABE LV2 HORS ETABLISSEMT','Arabe lv2 hors établissemt',2444
'ARA3H','ARABE LV3 HORS ETABLISSEMT','Arabe lv3 hors établissemt',2445
'CHI2H','CHINOIS LV2 HORS ETABLISSEMT','Chinois lv2 hors établissemt',2446
'CHI3H','CHINOIS LV3 HORS ETABLISSEMT','Chinois lv3 hors établissemt',2447
'ITA2H','ITALIEN LV2 HORS ETABLISSEMT','Italien lv2 hors établissemt',2448
'ITA3H','ITALIEN LV3 HORS ETABLISSEMT','Italien lv3 hors établissemt',2449
'FLE2','FRANCAIS LANGUE ETRANGERE 2','Français langue étrangère 2',2450
'RUS3H','RUSSE LV3 HORS ETABLISSEMT','Russe lv3 hors établissemt',2451
'RUS2H','RUSSE LV2 HORS ETABLISSEMT','Russe lv2 hors établissemt',2452
'FLE1','FRANCAIS LANGUE ETRANGERE 1','Français langue étrangère 1',2453
'NVLVE','NEGOCIATION VENTE EN LVE','Negociation vente en lve',2454
'EVDME','ETUDE ET VEILLE DES MARCHES ETRANGERS','Etude et veille des marches etrangers',2455
'PSCLI','PROSPECTION ET SUIVI DE CLIENTELE','Prospection et suivi de clientele',2456
'NEGOV','NEGOCIATION VENTE','Negociation vente',2457
'GOPIE','GESTION DES OPERATIONS D''IMPORT-EXPORT','Gestion des operations d''import-export',2458
'CMAIC','COMMUNICATION  MANAGEMENT INTERCULTURELS','Communication  management interculturels',2459
'APAMO','AIDE AU PARTENARIAT ET A LA MOBILITE','Aide au partenariat et a la mobilite',2460
'ANFSM','ANALYSE FONCTION., STRUCTUR. & MECANIQUE','Analyse fonction., structur. & mecanique',2461
'ORMAV','ORGANISATION  MAINTENANCE & APRES-VENTE','Organisation  maintenance & apres-vente',2462
'TNCIV','TECHNOLOGIE & INTERVENTION SUR VEHICULES','Technologie & intervention sur vehicules',2463
'GRSER','GESTION DE LA RELATION DE SERVICE','Gestion de la relation de service',2464
'ARA4H','ARABE RENFORCE HORS ETABLISSEMT','Arabe renforce hors établissemt',2465
'CHI4H','CHINOIS RENFORCE HORS ETABLISSEMT','Chinois renforce hors établissemt',2466
'HEB4H','HEBREU RENFORCE HORS ETABLISSEMT','Hébreu renforce hors établissemt',2467
'ITA4H','ITALIEN RENFORCE HORS ETABLISSEMT','Italien renforce hors établissemt',2468
'JAP4H','JAPONAIS RENFORCE HORS ETABLISSEMT','Japonais renforce hors établissemt',2469
'POR4H','PORTUGAIS RENFORCE HORS ETABLISSEMT','Portugais renforce hors établissemt',2470
'RUS4H','RUSSE RENFORCE HORS ETABLISSEMT','Russe renforce hors établissemt',2471
'CADTP','COMPO.ART APPLI.DOM.TECHNIQ.REPRES.PROJT','Compo.art appli.dom.techniq.repres.projt',2472
'CUART','CULTURE ARTISTIQUE ET TECHNIQUE','Culture artistique et technique',2473
'DCREA','DEMARCHE CREATIVE','Demarche creative',2474
'COTEC','COMMUNICATION TECHNIQUE','Communication technique',2475
'ATECR','ATELIER DE CREATION ET DE REALISATION','Atelier de creation et de realisation',2476
'MANGE','MANAGEMENT ET GESTION DE L''ENTREPRISE','Management et gestion de l''entreprise',2477
'EEMNO','ENVIRON. ECO ET MANAGERIAL DU NOTARIAT','Environ. eco et managerial du notariat',2478
'DG-DN','DROIT GENERAL ET DROIT NOTARIAL','Droit general et droit notarial',2479
'T-NOT','TECHNIQUES DU NOTARIAT','Techniques du notariat',2480
'APA-N','ACTIVITES PROF. APPLIQUEES (NOTARIAT)','Activites prof. appliquees (notariat)',2481
'ACDEL','ACTIVITES DELEGUEES','Activites deleguees',2482
'ATMET','ATELIERS METIERS','Ateliers metiers',2483
'INFOR','INFORMATION','Information',2484
'AIDEC','AIDE A LA DECISION','Aide a la decision',2485
'ORGAC','ORGANISATION DE L''ACTION','Organisation de l''action',2486
'ATLIE','ATELIER(S)','Atelier(s)',2487
'ANCOM','ANALYSE ET COMMUNICATION','Analyse et communication',2488
'RCHPP','RECHERCHES ET PRATIQUES PLASTIQUES','Recherches et pratiques plastiques',2489
'AALIC','ACCES AUTON. LABO INFORMATIQ. & COMMUNIC','Acces auton. labo informatiq. & communic',2490
'HMEMO','HISTOIRE MEDIEVALE & MODERNE','Histoire medievale & moderne',2491
'PSE','PREVENTION-SANTE-ENVIRONNEMENT','Prevention-sante-environnement',2501
'FHGEC','FRANCAIS, HISTOIRE-GEO., EDUC. CIVIQUE','Francais, histoire-geo., educ. civique',2502
'ACCPE','ACCOMPAGNEMENT PERSONNALISE','Accompagnement personnalisé',2503
'FHGCI','FRANCAIS  HIST.-GEO. EDUCATION CIVIQUE','Francais  hist.-geo. education civique',2643
'CDESF','CONNAISSANCE DOMAINES MAJEURS ESF','Connaissance domaines majeurs esf',2699
'ISPRO','INSERTION SOCIALE ET PROFESSIONNELLE','Insertion sociale et professionnelle',2700
'MRECH','METHODOLOGIE DE RECHERCHE','Methodologie de recherche',2701
'INTSO','INTERVENTION SOCIALE','Intervention sociale',2702
'S-PSY','SENSIBILISATION CONCEPTS PSY ETC','Sensibilisation concepts psy etc',2703
'ISIC','ISIC','Isic',2704
'ISAP','ISAP','Isap',2705
'COPRO','COMMUNICATION PROFESSIONNELLE','Communication professionnelle',2706
'CPOLI','CONNAISSANCE DES POLITIQUES INSTITUTIONS','Connaissance des politiques institutions',2707
'DYPAR','IMPLICATIONS DS DYNAMIQUES PARTENARIALES','Implications ds dynamiques partenariales',2708
'DESAA','DESIGN ET ARTS APPLIQUES','Design et arts appliqués',2762
'DAALV','DESIGN ET ARTS APPLIQUES EN LV1','Design et arts appliqués en langue vivante 1',2763
'P-CHA','PHYSIQUE-CHIMIE','Physique-Chimie',3089
'PSC-A','PRATIQUES SOC. ET CULTUR.','Pratiques soc. et cultur.',3091
'PSE-A','PREVENTION SANTE ENVIRONN','Prévention santé Environn',3092
'SESGA','SCI. ECO, SOC., GESTION','Sci. éco, soc., gestion',3093
'SES-A','SCIENCES ECO ET SOCIALES','Sciences éco et sociales',3094
'SEH-A','SCIENCES ECO. ET HUMAINES','Sciences éco. et humaines',3095
'SECOA','SCIENCES ECONOMIQUES','Sciences économiques',3096
'STATA','STATISTIQUES','Statistiques',3098
'SVT-A','SVT','SVT',3099
'TCMUA','TECH. DE COMMUNICATION','Tech. de communication',3100
'TIM-A','TIM','TIM',3102
'SCDG','SCIENCES DE GESTION','Sciences de gestion',3141
'ISCNU','INFORMATIQUE ET SCIENCES DU NUMERIQUE','Informatique et sciences du numérique',3161
'RPCAR','REALISATION DES PRODUITS CARROSSES','Réalisation des produits carrossés',3569
'CTMAN','COMMUNICATION & TECHNIQUES DE MANAGEMENT','Communication et techniques de management',3570
'STSYS','SCIENCES ET TECHNOLOGIE DES SYSTEMES','Sciences et technologie des systèmes',3571
'SQSER','SYST.QUAL.SECUR.ENV. RESP.SOC.&DEV.DUR.','Syst. Qualité Sécur. Environ. responsabilité sociétale & dév. Durable',3572
'BMEAP','BIOLOG. MICROBIOLOG. & ECOLOG. APPLIQUEE','Biologie, microbiologie et écologie appliquées',3573
'TPROF','TECHNOLOGIES PROFESSIONNELLES','Technologies professionnelles',3574
'COMPR','CONNAISSANCE DES MILIEUX PROFESSIONNELS','Connaissance des milieux professionnels',3576
'PROPR','PROJET PROFESSIONNEL','Projet professionnel',3577
'GEDAC','GESTION ECONOM. & DEVELOP. DE L''ACTIVITE','Gestion économique et développement de l''activité',3578
'HGGMC','HIST., GEO. & GEOPOL. DU MONDE CONTEMP.','Histoire, géographie et géopolitique du monde contemporain',3581
'ESHMC','ECON., SOCIOL. & HIST. DU MONDE CONTEMP.','Economie, sociologie et histoire du monde contemporain',3582
'MAINA','MATHEMATIQUES INFORMATIQUES','Mathématiques Informatique',3621
'FRDOA','FRANCAIS DOCUMENTATION','Français Documentation',3622
'ETP-A','ENS TECHNOLOGIQUE ET PROF.','Enseignement technologique et professionnel',3624
'SCTCA','SCIENCES ET TECHNOLOGIES','Sciences et technologies',3625
'PPROA','PRATIQUES PROF.','Pratiques prof.',3626
'PROPA','PROJET PROFESSIONNEL','Projet professionnel',3644
'ACIND','ACTIVITES INTER-DISCIPLINAIRES','Activités inter-disciplinaires',3661
'PFEG','PRINCIPES FONDAMENT. ECONOMIE & GESTION','Principes fondament. economie & gestion',2583
'SANTS','SANTE & SOCIAL','Sante & social',2584
'BIOTE','BIOTECHNOLOGIES','Biotechnologies',2585
'SLABO','SCIENCES & LABORATOIRE','Sciences & laboratoire',2587
'LITSO','LITTÉRATURE & SOCIETE','Littérature & societe',2588
'MP-SC','METHODES & PRATIQUES SCIENTIFIQUES','Methodes & pratiques scientifiques',2589
'CITEC','CREATION & INNOVATION TECHNOLOGIQUES','Creation & innovation technologiques',2591
'A-VIS','ARTS VISUELS','Arts visuels',2592
'A-SON','ARTS DU SON','Arts du son',2594
'EPSEE','EPS ENSEIGNEMENT D''EXPLORATION','Eps enseignement d''exploration',2621
'BAT2D','BIOLOGIE AGRO. TERRITOIR.& DEVEL.DURABLE','Biologie agro. territoir.& devel.durable',2741
'SSPOL','SCIENCES SOCIALES ET POLITIQUES','Sciences sociales et politiques',3162
'STECH','SCIENCES ET TECHNOLOGIE','Sciences et technologie',3184
'DECPR','DECOUVERTE PROFESSIONNELLE','Decouverte professionnelle',3186
'ETLV1','ENSEIGNEMENT TECHNOLOGIQUE EN LV1','Enseignement technologique en langue vivante 1',2764
'ARCHC','ARCHITECTURE ET CONSTRUCTION','Architecture et construction',2766
'ENENV','ENERGIES ET ENVIRONNEMENT','Energies et environnement',2767
'INTEC','INNOVATION TECHNOLOGIQUE ET ECO-CONCEPT.','Innovation technologique et éco-conception',2768
'SINUM','SYSTEMES D''INFORMATION ET NUMERIQUE','Systèmes d''information et numérique',2773
'VIVAN','CHIMIE-BIOCHIMIE-SCIENCES DU VIVANT','Chimie-biochimie-sciences du vivant',2774
'MESIN','MESURE ET INSTRUMENTATION','Mesure et instrumentation',2775
'SCLAB','SCIENCES PHYSIQUES ET CHIMIQUES EN LABO.','Sciences physiques et chimiques en laboratoire',2777
'SAAHE','SCIENC.APPLIQ. ALIMENT.HYG.ENVIRONNEMENT','Scienc.appliq. aliment.hyg.environnement',2841
'ETT','ENSEIGNEMTS TECHNOLOGIQUES TRANSVERSAUX','Enseignements technologiques transversaux',3121
'AOCCL','ANATOMIE-OCCLUSODONTIE','Anatomie-occlusodontie',3277
'MAPHY','MICROBIOLOGIE APPLIQ. & PHYSIOPATHOLOGIE','Microbiologie appliq. & physiopathologie',3278
'LITLV','LITTÉRATURE ETRANGERE LANGUE ETRANGER','Littérature étrangère en langue étrangère',3286
'HUMOD','HUMANITES MODERNES','Humanités modernes',3361
'SMAJU','STRATEGIE MARKETING JURIDIQUE','Stratégie marketing juridique',3362
'TCMRA','TECHNIQUES COMMERCIALES','Techniques commerciales',2974
'CPRTE','CULTURES ET PRATIQUES TECHNIQUES','Cultures et pratiques techniques',3364
'TANIA','TECHNIQUES ANIMALIERES','Techniques animalières',2977
'PPLME','PRATIQUES PLASTIQUES ET MEDIATIONS','Pratiques plastiques et médiations',3365
'IPRRE','INNOVATION, PROSPECTIVE ET RECHERCHE','Innovation, prospective et recherche',3366
'LEXRE','LABORATOIRE EXPERIMENTATION ET RECHERCHE','Laboratoire d''expérimentation et de recherches',3367
'MACPR','MACRO-PROJET','Macro-projet',3368
'MREPR','MÉMOIRE DE RECHERCHE PROFESSIONNEL','Mémoire de recherche professionnel',3369
'MELVE','MÉMOIRE EN LANGUE VIVANTE ETRANGERE','Mémoire en langue vivante étrangère',3371
'EQUIA','EQUITATION','Equitation',2921
'HIEQA','HIPPOLOGIE-EQUITATION','Hippologie-équitation',2922
'ZOOHA','ZOOTECHNIE HIPPOLOGIE','Zootechnie hippologie',2924
'GESFI','GESTION ET FINANCE','Gestion et finance',3381
'SIGET','SYSTEMES D''INFORMATION DE GESTION','Systèmes d''information de gestion',3384
'ALL 8','LITTERATURE EN ALLEMAND','Littérature étrangère en allemand',3491
'AGL 8','LITTERATURE EN ANGLAIS','Littérature étrangère en anglais',3492
'ARA 8','LITTERATURE EN ARABE','Littérature étrangère en arabe',3493
'CHI 8','LITTERATURE EN CHINOIS','Littérature étrangère en chinois',3494
'ESF-A','ECONOMIE SOC. FAMILIALE','Economie soc. familiale',2941
'ECONS','ECONOMIE-CONSOMMATION','Economie-consommation',2521
'PJCOM','PROJET DE COMMUNICATION','Projet de communication',2522
'CONSA','CONSEIL ET RELATION ANNONCEUR','Conseil et relation annonceur',2523
'VEILO','VEILLE OPERATIONNELLE','Veille operationnelle',2524
'APROD','ATELIER PRODUCTION','Atelier production',2525
'ANIMF','TECHNIQUES D''ANIMATION ET DE FORMATION','Techniques d''animation et de formation',2526
'CPUBL','CONNAISSANCES DES PUBLICS','Connaissances des publics',2527
'COMEO','COMMUNICATION ECRITE ET ORALE','Communication ecrite et orale',2528
'DESCV','DESIGN DE COMMUNICATION VISUELLE','Design de communication visuelle',2529
'COMTK','COMMUNICATION TECHNIQUE','Communication technique',2530
'GTECO','GESTION TECHNIQUE ET ECONOMIQUE','Gestion technique et economique',2531
'INVES','METHODOLOGIE D''INVESTIGATION','Methodologie d''investigation',2532
'C-COM','CULTURES DE LA COMMUNICATION','Cultures de la communication',2533
'SPCAP','SCIENCES PHYSIQUES&CHIMIQUES APPLIQUEES','Sciences physiques&chimiques appliquees',2534
'CMUSI','CULTURE MUSICALE','Culture musicale',2535
'ATSON','ATELIER SON','Atelier son',2536
'CVISU','CULTURE VISUELLE','Culture visuelle',2537
'EPRDT','ETUDE DE PRODUITS','Etude de produits',2538
'PPROD','PREPARATION DE LA PRODUCTION','Preparation de la production',2539
'EMOAF','ET.&M.EN OEUVRE ALLIAG DE FOND.&MAT.CONX','Et.&m.en oeuvre alliag de fond.&mat.conx',2541
'ETAER','ETUDE DE L''AERONEF ET DE SES SYSTEMES','Etude de l''aeronef et de ses systemes',2542
'PRPRO','PREPARATION DE PRODUCTION','Preparation de production',2543
'AMAER','ASSEMBLAGE ET MAINTENANCE DES AERONEFS','Assemblage et maintenance des aeronefs',2544
'ALSHY','ALIMENTATION-SANTE-HYGIENE','Alimentation-sante-hygiene',2551
'HABLO','HABITAT-LOGEMENT','Habitat-logement',2552
'QUOTI','INTERV.SUR LE QUOTIDIEN ET SON EVOLUTION','Interv.sur le quotidien et son evolution',2553
'ARELC','ATELIER RELATIONS COMMERCIALES','Atelier relations commerciales',2554
'OIRAE','ORGANISAT.INDUST.&REGLEMENT.AERONAUTIQUE','Organisat.indust.&reglement.aeronautique',2555
'GSYSI','GESTION DU SYSTEME D''INFORMATION','Gestion du systeme d''information',2556
'CGENX','CULTURE GENERALE ET EXPRESSION','Culture generale et expression',2557
'RELCF','RELAT. AV. LA CLIENTELE&LES FOURNISSEURS','Relat. av. la clientele&les fournisseurs',2558
'PRJCO','PROJET DE COMMUNICATION','Projet de communication',2562
'ADDRH','ADMINIST. DEVELOP. RESSOURCES HUMAINES','Administ. develop. ressources humaines',2681
'GFACT','GESTION ET FINANCEMENT DES ACTIFS','Gestion et financement des actifs',2682
'LMNRH','MELANESIEN NENGONE LV.REG. HORS ETAB.','Mélanésien nengone langue vivante régionale hors établissement',4098
'LMD2H','MELANESIEN PAICI LV2 HORS ETABLISSEMENT','Mélanésien païci langue vivante 2 hors établissement',4099
'LMD3H','MELANESIEN PAICI LV3 HORS ETABLISSEMENT','Mélanésien païci langue vivante 3 hors établissement',4100
'LMD4H','MELANESIEN PAICI RENFORCEE HORS ETAB.','Mélanésien païci renforcée hors établissement',4101
'LMDRH','MELANESIEN PAICI LV.REG. HORS ETAB.','Mélanésien païci langue vivante régionale hors établissement',4102
'CRE2H','CREOLE LV2 HORS ETABLISSEMENT','Créole langue vivante 2 hors établissement',4103
'CRE3H','CREOLE LV3 HORS ETABLISSEMENT','Créole langue vivante 3 hors établissement',4104
'CRE4H','CREOLE LV RENFORCEE HORS ETABLISSEMENT','Créole langue vivante renforcée hors établissement',4105
'CRERH','CREOLE LV.REG. HORS ETABLISSEMENT','Créole langue vivante régionale hors établissement',4106
'FLE1H','FRANCAIS LANGUE ETRANGERE 1 HORS ETAB.','Français langue étrangère langue vivante 1 hors établissement',4107
'FLE2H','FRANCAIS LANGUE ETRANGERE 2 HORS ETAB.','Français langue étrangère langue vivante 2 hors établissement',4108
'CULTA','CULTURES ARTISTIQUES','Cultures artistiques',4113
'GENCH','GENIE CHIMIQUE','Génie chimique',4121
'TEMEO','TECHNIQUE ET MISE EN OEUVRE','Technique et mise en oeuvre',4122
'CAUDA','CULTURE AUDIOVISUELLE ET ARTISTIQUE','Culture audiovisuelle et artistique',4123
'ACTPR','ACTIVITES DE PROJET','Activités de projet',4124
'ELCOM','ELECTRONIQUE ET COMMUNICATIONS','Electronique et communications',4126
'INFRE','INFORMATIQUE ET RESEAUX','Informatique et réseaux',4129
'STAEQ','SC ET TECHNIQUES DES AGROEQUIPEMENTS','Sc et techniques des agroéquipements',4146
'TAQUA','TECHNOLOGIE AQUACOLE','Technologie aquacole',4147
'ANG-A','ANGLAIS','Anglais',4157
'ALL-A','ALLEMAND','Allemand',4158
'ITA-A','ITALIEN','Italien',4159
'ESP-A','ESPAGNOL','Espagnol',4160
'DSACC','DEVEL. & SUIVI DE L''ACTIVITE COMMERCIALE','Développement et suivi de l''activité commerciale',4161
'EEJOB','ENV.ECONOM.JURID&ORGANIS ACTIV.BANCAIRE','Environnement économique juridique & organisationnel activité bancaire',4162
'CERPR','CERTIFICATION PROFESSIONNELLE','Certification professionnelle',4164
'AAEPR','ACCES AUTONOMIE EQUIPEMENTS PROFESSION.','Accès en autonomie aux équipements professionnels',4165
'ETP','ENSEIGNEMTS TECHNIQUES ET PROFESSIONNELS','Enseignements techniques et professionnels',4166
'CTECO','COMMUNICATION TECHNIQUE ET COMMERCIALE','Communication technique et commerciale',4171
'EPSYS','ETUDE PLURITECHNOLOGIQUE DES SYSTEMES','Etude pluritechnologique des systèmes',4172
'ORMAT','ORGANISATION DE LA MAINTENANCE','Organisation de la maintenance',4174
'TMCPR','TECHNIQ. DE MAINTEN. CONDUITE PREVENTION','Techniques de maintenance, conduite, prévention',4175
'PCAPP','PHYSIQUE ET CHIMIE APPLIQUEES','Physique et chimie appliquées',4177
'COSAP','COSMETOLOGIE APPLIQUEE','Cosmétologie appliquée',4178
'ENVPR','ENVIRONNEMENT PROFESSIONNEL','Environnement professionnel',4180
'TTPRO','TECHNOLOG. & TECHNIQUES PROFESSIONNELLES','Technologie et techniques professionnelles',4183
'MAGRH','MANAGEMENT GEST. DES RESSOURCES HUMAINES','Management - gestion des ressources humaines',4194
'APDPR','APPROCHE PLURIDISCIPLINAIRE & DIM. PROF.','Approche pluridisciplinaire et dimension professionnelle',4196
'SYSIG','SYSTÈME D''INFORMATION DE GESTION','Système d''information de gestion',4197
'MASCG','MANAGEMENT ET SCIENCES DE GESTION','Management et sciences de gestion',4198
'HASCT','HISTOIRE DE L''ART DES SCIENC. & TECHNIQ.','Histoire de l''art, des sciences et des techniques',4200
'SHPAD','SC. HUMAINES & PHIL. GENER. ART & DESIGN','Sciences humaines et philosophie générale de l''art et du design',4201
'PRCRA','PRATIQUES CREATIVES ET ARTISTIQUES','Pratiques créatives et artistiques',4202
'RDPRO','RECHERCHE ET DEMARCHE DE PROJET','Recherche et démarche de projet',4203
'DESTC','DESIGN, SCIENCES & TECHNOLOGIES CONTEMP.','Design, sciences et technologies contemporaines',4204
'INEXP','INVESTIGATION, EXPLOITATION, PROJECTION','Investigation, exploitation, projection',4206
'CPIND','CHIMIE ET PHYSIQUE INDUSTRIELLES','Chimie et physique industrielles',3701
'ETARC','ETUDE ARCHITECTURALE','Etude architecturale',3702
'ETPRP','ETUDE ET PREPARATION DE PROJET','Etude et préparation de projet',3703
'ORMEO','ORGANISATION ET MISE EN OEUVRE','Organisation et mise en oeuvre',3704
'MEDIA','MEDIATION','Médiation',4208
'OAEXC','OUTILS ANALYSE EXPRESSION ET COMMUNICAT.','Outils d''analyse, d''expression et de communicat.',4209
'SCIIN','SCIENCES INDUSTRIELLES DE L''INGENIEUR','Sciences industrielles de l''ingénieur',4210
'GESMG','GESTION ET MANAGEMENT','Gestion et management',4211
'EC-DR','ECONOMIE-DROIT','Economie-droit',4221
'MERMA','MERCATIQUE (MARKETING)','Mercatique (marketing)',4222
'RHCOM','RESSOURCES HUMAINES ET COMMUNICATION','Ressources humaines et communication',4226
