libelle_court,libelle_long,libelle_edition,id
'VADIS','VENTE A DISTANCE','Vente a distance',156
'GDIST','GRANDE DISTRIBUTION','Grande distribution',157
'VPRFR','VENTE DE PRODUITS FRAIS','Vente de produits frais',158
'VCETR','VENTE A LA CLIENTELE ETRANGERE','Vente a la clientele etrangere',159
'VARVS','VENTE D''ARTICLES VESTIMENTAIRES','Vente d''articles vestimentaires',160
'TE-CO','TECHNICO-COMMERCIAL','Technico-commercial',161
'BLGHU','BIOLOGIE HUMAINE','Biologie humaine',162
'AGROV','AGRONOMIE ET ENVIRONNEMENT','Agronomie et environnement',163
'BLGES','BIOLOGIE ECOLOGIE AGRONOMIE SPECIALITE','Biologie ecologie agronomie specialite',164
'P-CSS','PREPARATION AUX CONCOURS SANIT ET SOCIAL','Preparation aux concours sanit et social',165
'S-BT','SCIENCES BIOLOGIQUES ET DE LA TERRE','Sciences biologiques et de la terre',166
'ECOAG','ECOLOGIE-AGRONOMIE','Ecologie-agronomie',167
'ALIHU','ALIMENTATION HUMAINE','Alimentation humaine',168
'E-FS','ECONOMIE FAMILIALE ET SOCIALE','Economie familiale et sociale',169
'ISRLT','ENSEIGNEMENT RELIGIEUX ISRAELITE','Enseignement religieux israelite',170
'PROTT','ENSEIGNEMENT RELIGIEUX PROTESTANT','Enseignement religieux protestant',171
'LUTHR','ENSEIGNEMENT RELIGIEUX LUTHERIEN','Enseignement religieux lutherien',172
'CALVN','ENSEIGNEMENT RELIGIEUX CALVINISTE','Enseignement religieux calviniste',173
'RLGDI','ENS REL DIVERS','Ens rel divers',174
'G-LEG','GESTION ET LEGISLATION','Gestion et legislation',175
'O-EEC','ORGANI.-EXPLOITA. ENTREPRISES-CHANTIERS','Organi.-exploita. entreprises-chantiers',176
'G-VDE','GESTION ET VIE DES ENTREPRISES','Gestion et vie des entreprises',177
'GESTN','GESTION','Gestion',178
'N-GES','ENSEIGNEMENT MISE A NIVEAU GESTION','Enseignement mise a niveau gestion',179
'E-GSE','ECONOMIE ET GESTION DE L''ENTREPRISE','Economie et gestion de l''entreprise',180
'MT-AG','METHODES ADMINISTRATIVES ET GESTION','Methodes administratives et gestion',181
'G-ADM','GESTION DES ACTIVITES ADMINISTRATIVES','Gestion des activites administratives',182
'I-GSE','INITIATION A LA GESTION DES ENTREPRISES','Initiation a la gestion des entreprises',183
'T-ADM','TECHNIQUES ADMINISTRATIVES','Techniques administratives',184
'ENTGS','L''ENTREPRISE ET SA GESTION','L''entreprise et sa gestion',185
'E-ENT','ECONOMIE D''ENTREPRISE','Economie d''entreprise',186
'O-EGE','ORGANISATIO.PRODUCT.:ECO.GEST.ENTREPRISE','Organisatio.product.:eco.gest.entreprise',187
'E-EGS','ECONOMIE D''ENTREPRISE ET GESTION','Economie d''entreprise et gestion',188
'MA-GG','MATHEMATIQUES GENERAL.APPLIQUEES GESTION','Mathematiques general.appliquees gestion',189
'OADGS','OPTION A DOMINANTE GESTION','Option a dominante gestion',190
